sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
1175,-169,1,2,1,1,0,4,1,3,13
1180,-225,1,1,1,2,0,5,2,3,15
1185,-324,2,1,1,3,0,5,3,3,18
1190,-324,2,0,1,3,0,5,3,4,18
1195,-361,2,0,1,3,0,5,4,4,19
1200,-441,2,1,1,3,0,5,5,4,21
1205,-361,0,1,2,3,0,3,6,4,19
1210,-361,0,1,2,4,1,1,6,4,19
1215,-361,0,1,2,4,1,0,6,5,19
1220,-361,0,1,2,4,1,0,6,5,19
1225,-361,0,1,2,4,1,0,6,5,19
1230,-324,0,1,2,4,1,0,6,4,18
1235,-169,0,1,2,2,1,0,6,1,13
1240,-144,0,1,2,0,1,0,6,2,12
1245,-144,0,1,2,0,1,0,6,2,12
1250,-100,0,1,2,0,1,0,6,0,10
1255,-100,0,1,2,0,1,0,6,0,10
1260,-81,0,1,1,0,1,0,6,0,9
1265,-49,0,1,0,0,1,0,3,2,7
1270,-36,0,1,0,0,1,0,2,2,6
1275,-36,0,1,0,0,1,0,2,2,6
1280,-16,0,1,0,0,1,0,0,2,4
1285,-16,0,1,0,0,1,0,0,2,4
1290,-16,0,1,0,0,0,0,0,3,4
1295,-36,0,1,0,1,0,0,1,3,6
1300,-25,0,0,0,1,0,0,1,3,5
1305,-25,0,0,0,1,0,0,1,3,5
1310,-49,0,0,0,1,0,1,2,3,7
1315,-100,0,0,0,1,0,1,2,6,10
1320,-81,0,0,0,1,0,0,2,6,9
1325,-81,0,0,0,1,0,0,2,6,9
1330,-144,0,0,1,1,0,0,2,8,12
1335,-256,0,0,1,1,1,0,4,9,16
1340,-289,0,0,1,1,1,0,4,10,17
1345,-324,0,1,1,1,1,0,4,10,18
1350,-289,0,1,1,1,1,0,4,9,17
1355,-256,0,1,1,0,1,0,5,8,16
1360,-256,0,1,1,0,1,0,5,8,16
1365,-256,0,1,1,1,1,0,6,6,16
1370,-225,0,1,1,1,1,0,6,5,15
1375,-144,0,1,1,0,2,0,6,2,12
1380,-100,0,1,1,0,2,0,5,1,10
1385,-36,0,1,0,0,2,0,2,1,6
1390,-25,0,1,1,0,2,0,0,1,5
1395,-16,0,1,0,0,2,0,0,1,4
1400,-25,0,1,0,0,2,0,0,2,5
1405,-36,0,1,0,0,2,0,1,2,6
1410,-16,0,0,0,0,1,1,0,2,4
1415,-16,0,0,0,1,0,1,0,2,4
1420,-25,0,0,1,1,0,1,0,2,5
1425,-49,0,0,1,1,0,1,1,3,7
1430,-49,0,0,1,1,0,1,1,3,7
1435,-81,1,0,1,1,0,1,2,3,9
1440,-100,0,0,1,1,0,2,3,3,10
1445,-81,0,0,1,1,0,1,3,3,9
1450,-100,0,0,1,1,0,0,4,4,10
1455,-100,0,0,1,1,0,0,4,4,10
1460,-100,0,0,1,1,0,0,4,4,10
1465,-121,0,1,1,1,0,0,4,4,11
1470,-121,0,1,1,1,0,0,4,4,11
1475,-64,0,1,1,0,0,0,4,2,8
1480,-49,0,1,1,0,1,0,4,0,7
1485,-49,0,1,1,0,1,0,4,0,7
1490,-49,0,1,1,0,1,0,4,0,7
1495,-64,0,1,2,0,1,0,4,0,8
1500,-36,0,1,1,0,1,0,3,0,6
1505,-9,0,1,1,0,1,0,0,0,3
1510,-16,1,1,0,0,1,1,0,0,4
1515,-25,1,1,0,0,2,1,0,0,5
1520,-36,1,1,0,0,2,1,1,0,6
1525,-36,1,2,0,0,2,1,0,0,6
1530,-64,2,2,0,0,2,2,0,0,8
1535,-25,2,0,0,0,0,2,1,0,5
1540,-49,3,0,0,0,0,2,2,0,7
1545,-100,3,0,2,0,0,2,3,0,10
1550,-121,3,0,2,0,0,2,3,1,11
1555,-121,3,0,2,0,0,2,3,1,11
1560,-81,2,0,2,0,0,1,3,1,9
1565,-36,0,0,2,0,0,0,3,1,6
1570,-36,0,0,2,0,0,0,3,1,6
1575,-49,0,0,3,0,0,0,3,1,7
1580,-81,0,0,4,0,0,0,3,2,9
1585,-81,0,0,4,0,0,0,3,2,9
1590,-100,0,0,4,0,0,0,4,2,10
1595,-81,0,0,4,0,0,0,4,1,9
1600,-81,0,0,4,0,0,0,4,1,9
1605,-81,0,0,5,0,0,0,4,0,9
1610,-81,0,0,5,0,0,0,4,0,9
1615,-81,0,0,5,0,0,0,4,0,9
1620,-64,0,0,4,0,0,0,4,0,8
1625,-36,0,0,2,0,0,0,3,1,6
1630,-16,0,0,1,0,0,0,1,2,4
1635,-9,0,0,1,0,0,0,0,2,3
1640,-9,0,0,1,0,0,0,0,2,3
1645,-9,0,0,0,0,0,1,0,2,3
1650,-64,0,1,1,0,1,1,1,3,8
1655,-49,0,1,1,0,0,1,1,3,7
1660,-64,0,1,1,0,0,1,1,4,8
1665,-49,0,0,1,0,0,1,1,4,7
1670,-64,0,0,1,0,0,2,1,4,8
1675,-100,0,0,1,1,0,2,1,5,10
1680,-121,0,0,1,1,0,2,2,5,11
1685,-81,0,0,1,1,0,0,2,5,9
1690,-100,0,0,1,1,1,0,2,5,10
1695,-100,0,0,1,1,1,0,2,5,10
1700,-100,0,0,1,1,1,0,2,5,10
1705,-144,0,0,1,2,1,0,2,6,12
1710,-144,0,0,1,2,1,0,2,6,12
1715,-144,0,0,2,1,2,0,2,5,12
1720,-100,0,0,2,0,2,0,2,4,10
1725,-81,1,0,2,0,2,0,2,2,9
1730,-64,1,0,2,0,2,1,2,0,8
1735,-64,1,0,2,0,2,1,2,0,8
1740,-49,1,1,1,0,2,1,1,0,7
1745,-64,1,1,1,0,2,1,1,1,8
1750,-49,1,1,0,0,2,1,1,1,7
1755,-36,1,1,0,0,2,1,0,1,6
1760,-49,1,1,0,0,3,1,0,1,7
1765,-49,1,1,0,0,3,1,0,1,7
1770,-36,1,1,0,0,2,1,0,1,6
1775,-25,1,0,1,0,0,2,0,1,5
1780,-25,1,0,1,0,0,2,0,1,5
1785,-49,1,1,1,0,0,2,1,1,7
1790,-49,1,0,1,0,0,2,2,1,7
1795,-49,1,0,1,0,0,2,2,1,7
