sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
1315,-100,0,2,0,2,3,0,0,3,10
1320,-121,0,2,0,2,3,0,1,3,11
1325,-144,0,1,0,3,2,0,1,5,12
1330,-144,0,0,0,3,1,0,2,6,12
1335,-121,0,0,0,3,0,0,2,6,11
1340,-225,0,0,1,4,0,0,2,8,15
1345,-289,0,0,1,6,0,0,2,8,17
1350,-289,0,0,1,6,0,0,2,8,17
1355,-121,0,0,1,4,0,0,2,4,11
1360,-49,0,0,1,1,0,0,2,3,7
1365,-64,0,0,1,1,0,0,2,4,8
1370,-25,0,0,1,0,0,0,2,2,5
1375,-9,0,0,1,0,0,0,2,0,3
1380,-9,0,0,1,0,0,0,2,0,3
1385,-4,0,0,1,0,0,0,1,0,2
1390,-1,0,0,0,0,0,0,1,0,1
1395,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0
1405,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0
1415,-9,0,1,1,0,0,0,1,0,3
1420,-16,0,1,1,0,1,0,1,0,4
1425,-25,0,1,1,0,1,0,2,0,5
1430,-25,0,1,1,0,1,0,2,0,5
1435,-25,0,1,1,0,1,0,2,0,5
1440,-25,0,1,1,0,1,0,2,0,5
1445,-25,0,1,0,1,1,0,2,0,5
1450,-9,0,1,0,1,1,0,0,0,3
1455,-9,0,1,0,1,1,0,0,0,3
1460,-16,0,1,0,1,1,0,0,1,4
1465,-16,0,1,0,1,1,0,0,1,4
1470,-25,0,1,0,2,1,0,0,1,5
1475,-25,0,1,1,2,1,0,0,0,5
1480,-16,0,1,1,0,1,0,0,1,4
1485,-9,0,1,1,0,1,0,0,0,3
1490,-9,0,1,1,0,1,0,0,0,3
1495,-9,0,1,1,0,1,0,0,0,3
1500,-9,0,1,1,0,1,0,0,0,3
1505,-9,0,1,1,0,1,0,0,0,3
1510,-4,0,1,0,0,1,0,0,0,2
1515,-4,0,1,0,0,1,0,0,0,2
1520,-4,0,1,0,0,1,0,0,0,2
1525,-25,1,1,0,1,2,0,0,0,5
1530,-25,1,1,0,1,2,0,0,0,5
1535,-16,1,1,0,1,1,0,0,0,4
1540,-25,1,1,0,1,0,0,2,0,5
1545,-25,1,0,0,1,0,0,2,1,5
1550,-36,1,0,1,1,0,0,2,1,6
1555,-36,1,0,1,1,0,0,2,1,6
1560,-49,1,0,1,1,0,0,3,1,7
1565,-25,1,0,0,1,0,0,2,1,5
1570,-9,1,0,0,1,0,0,0,1,3
