sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
1820,-1521,39,83,700.4
1825,-900,30,60,509.7
1830,-900,30,47,430.0
1835,-1681,41,81,625.9
1840,-1369,37,90,739.0999999999998
1845,-841,29,50,404.79999999999995
1850,-576,24,39,336.5999999999999
1855,-676,26,52,460.4
1860,-1849,43,86,743.4000000000001
1865,-1600,40,76,644.3999999999999
1870,-3969,63,156,1354.4
1875,-5929,77,184,1538.5000000000002
1880,-4489,67,208,1797.2000000000003
1885,-3969,63,180,1507.9999999999998
1890,-3481,59,176,1422.6
1895,-6889,83,191,1598.7
1900,-6400,80,222,1838.1000000000001
1905,-4761,69,218,1815.8999999999996
1910,-4624,68,216,1685.6000000000001
1915,-3844,62,172,1403.6
1920,-4356,66,229,1791.9
1925,-1369,37,91,732.9
1930,-4096,64,172,1441.3999999999999
1935,-2401,49,113,989.4000000000001
1940,-2209,47,118,1020.5000000000001
1945,-1681,41,77,703.7
1950,-2916,54,153,1269.7000000000003
1955,-2809,53,139,1188.4
1960,-3136,56,109,968.5
1965,-1936,44,91,795.5
1970,-4096,64,194,1471.8
1975,-4761,69,168,1357.6999999999998
1980,-4356,66,172,1364.9
1985,-3136,56,179,1378.1
1990,-3481,59,147,1204.4
1995,-6241,79,212,1721.0
2000,-3364,58,154,1252.5
2005,-961,31,60,484.99999999999994
2010,-1369,37,61,538.2
2015,-1369,37,60,529.4
2020,-1849,43,66,558.8000000000001
2025,-3364,58,132,1166.5000000000002
2030,-2116,46,109,872.2
2035,-3481,59,117,1011.3999999999997
2040,-5776,76,217,1658.8
2045,-1764,42,89,702.6999999999999
2050,-2500,50,138,1043.1000000000001
2055,-2304,48,104,890.2
2060,-1444,38,79,725.5999999999999
2065,-2809,53,110,920.7000000000003
2070,-1296,36,87,707.0000000000001
2075,-841,29,64,555.2
2080,-841,29,53,460.50000000000006
2085,-1521,39,87,713.9999999999999
2090,-1521,39,79,657.4000000000001
2095,-2116,46,73,635.8
2100,-1764,42,89,791.4000000000001
2105,-1681,41,83,650.2
2110,-1225,35,84,657.6
2115,-1089,33,73,630.2
2120,-2401,49,120,1020.1999999999999
2125,-3249,57,124,1093.6999999999998
2130,-1600,40,76,637.5
2135,-2209,47,133,1067.3
2140,-1296,36,96,768.0
2145,-49,7,13,116.0
2150,-1296,36,68,556.9000000000001
2155,-1849,43,99,820.9
2160,-2401,49,97,797.9000000000001
2165,-3721,61,136,1109.7
2170,-2401,49,143,1200.8000000000002
2175,-3844,62,130,1112.4
2180,-2809,53,119,1005.2
2185,-2809,53,130,1050.7
2190,-1225,35,86,713.6999999999999
2195,-529,23,37,348.7
2200,-1024,32,54,446.9
2205,-2116,46,90,719.1
2210,-1764,42,90,694.7
2215,-1849,43,92,791.3
2220,-1681,41,77,650.8000000000001
2225,-1521,39,110,922.1999999999999
2230,-1521,39,93,855.1000000000001
2235,-900,30,45,376.1
2240,-841,29,52,422.6
2245,-1600,40,62,519.0
2250,-900,30,53,440.5
2255,-1521,39,102,800.1
2260,-1444,38,79,657.5
2265,-576,24,52,461.79999999999995
2270,-1225,35,57,474.69999999999993
2275,-1600,40,76,656.8
2280,-1444,38,63,529.0
2285,-1521,39,67,605.0000000000001
2290,-900,30,47,392.00000000000006
2295,-729,27,47,408.20000000000005
2300,-400,20,34,324.5
2305,-841,29,50,420.29999999999995
2310,-729,27,43,378.59999999999997
2315,-441,21,38,351.3
2320,-729,27,61,529.3
2325,-900,30,59,480.99999999999994
2330,-2500,50,96,784.4000000000001
2335,-1444,38,90,727.9
2340,-289,17,40,341.6
2345,-900,30,58,466.5
2350,-625,25,38,343.7
2355,-1521,39,64,538.9000000000001
2360,-2704,52,100,844.3000000000001
2365,-3136,56,121,1031.2
2370,-2601,51,137,1057.2
2375,-3844,62,124,1082.0
2380,-3969,63,185,1535.4
2385,-4225,65,144,1194.0
2390,-3844,62,140,1216.9
2395,-3969,63,148,1239.9
2400,-2500,50,93,786.0
2405,-2025,45,100,880.0
2410,-1369,37,59,503.0
2415,-1369,37,77,663.5999999999999
2420,-3721,61,109,932.0999999999999
2425,-2401,49,98,850.9
2430,-3969,63,147,1187.5
2435,-6084,78,263,2139.3
2440,-4624,68,197,1634.4
2445,-2401,49,106,925.2
2450,-2209,47,89,700.9
2455,-1369,37,88,781.9
2460,-900,30,62,508.9
2465,-2401,49,93,844.6999999999999
2470,-1681,41,118,937.7
2475,-1849,43,66,571.4
2480,-3136,56,124,1061.5
2485,-3600,60,154,1326.6999999999998
2490,-3249,57,141,1178.3000000000002
2495,-6724,82,301,2305.9000000000005
2500,-3249,57,155,1290.5
2505,-1936,44,119,977.4999999999998
2510,-2025,45,90,746.6000000000001
2515,-1764,42,82,702.1000000000001
2520,-2809,53,112,956.1000000000001
2525,-1225,35,69,607.7
2530,-2916,54,92,798.8
2535,-2401,49,94,776.1999999999999
2540,-841,29,46,403.79999999999995
2545,-1089,33,62,551.6
2550,-1444,38,75,638.0
2555,-1764,42,127,972.9
2560,-961,31,60,516.0
2565,-1444,38,81,671.4
2570,-2304,48,76,653.5
2575,-1089,33,74,621.8999999999999
2580,-1369,37,49,434.0
2585,-3600,60,135,1130.4
2590,-5329,73,183,1562.9
2595,-3136,56,137,1206.1
2600,-2704,52,83,741.8
2605,-2209,47,168,1309.7
2610,-576,24,53,444.69999999999993
2615,-2304,48,91,777.2
2620,-1444,38,82,667.5
2625,-961,31,62,507.70000000000005
2630,-2916,54,85,706.0999999999999
2635,-3136,56,131,1094.1000000000001
2640,-3969,63,120,1001.3000000000002
2645,-4225,65,156,1283.4
2650,-3969,63,146,1278.9
2655,-2304,48,147,1244.8000000000002
2660,-3600,60,148,1296.1
2665,-2500,50,123,1094.9
2670,-2116,46,90,722.0999999999999
2675,-2304,48,106,874.9000000000001
2680,-4096,64,182,1457.8
2685,-1936,44,106,848.1
2690,-1521,39,82,708.4
2695,-1156,34,59,535.0999999999999
2700,-2116,46,85,773.1999999999999
2705,-2809,53,121,1025.3
2710,-2401,49,112,935.7999999999998
2715,-2916,54,131,1076.8999999999999
2720,-3600,60,164,1275.8
2725,-5476,74,222,1732.3000000000002
2730,-3600,60,178,1455.9
2735,-2916,54,135,1097.8000000000002
2740,-3025,55,146,1159.9
2745,-2401,49,120,1015.1000000000001
2750,-4096,64,152,1368.1999999999998
2755,-5476,74,224,1858.3999999999996
2760,-1936,44,94,801.6
2765,-11025,105,324,2538.1000000000004
2770,-4761,69,215,1693.5
2775,-3481,59,212,1632.1999999999998
2780,-3969,63,177,1468.8000000000002
2785,-3481,59,142,1165.8999999999999
2790,-1849,43,103,850.7
2795,-3249,57,108,902.5999999999999
2800,-2809,53,143,1158.6
2805,-2916,54,126,989.3
2810,-2704,52,111,925.5
2815,-1681,41,107,918.3000000000001
2820,-1521,39,72,668.1999999999999
2825,-3025,55,154,1201.3999999999999
2830,-2209,47,122,1033.5
2835,-3364,58,152,1251.5
2840,-1444,38,104,899.5
2845,-2025,45,68,579.3
2850,-841,29,70,631.5
2855,-1089,33,72,649.0
2860,-900,30,84,720.2
2865,-2809,53,115,977.9000000000001
2870,-2116,46,113,983.5999999999999
2875,-5041,71,193,1609.2
2880,-2209,47,143,1211.3
2885,-1089,33,71,615.5999999999999
2890,-1089,33,79,746.1
2895,-625,25,47,392.0
2900,-2025,45,80,689.1999999999999
2905,-2809,53,130,1066.6999999999998
2910,-1681,41,93,833.5
2915,-1024,32,66,560.3
2920,-1156,34,65,575.1
2925,-1681,41,77,659.2
2930,-2116,46,78,654.5999999999999
2935,-3249,57,107,930.2999999999998
2940,-3249,57,134,1144.3
2945,-3721,61,127,1071.3000000000002
2950,-3721,61,179,1530.7000000000003
2955,-2704,52,122,1032.4
2960,-3600,60,155,1291.8000000000002
2965,-2116,46,101,857.1000000000001
2970,-1089,33,63,542.0
2975,-1156,34,64,576.4
2980,-900,30,61,518.3000000000002
2985,-1444,38,62,524.1
2990,-3600,60,124,1029.8
2995,-5184,72,189,1602.7000000000003
3000,-4096,64,173,1416.9
3005,-3481,59,117,1021.7
3010,-3969,63,146,1192.0
3015,-5625,75,170,1459.3000000000002
3020,-7056,84,207,1702.9
3025,-5776,76,261,1999.2000000000003
3030,-2809,53,168,1306.6
3035,-361,19,32,246.79999999999995
3040,-3025,55,98,799.3000000000001
3045,-1681,41,95,816.2
3050,-3364,58,152,1276.1999999999998
3055,-2304,48,114,930.5
3060,-1849,43,115,913.7
3065,-1296,36,61,499.1
3070,-900,30,54,479.0
3075,-900,30,53,459.0
3080,-1024,32,51,427.90000000000003
3085,-2116,46,100,869.3
3090,-1156,34,85,716.6999999999998
3095,-2704,52,91,811.6
3100,-4225,65,160,1327.7000000000003
3105,-4356,66,149,1286.2
3110,-1296,36,72,573.0999999999999
3115,-2401,49,95,820.5
3120,-1936,44,98,857.9
3125,-1849,43,77,666.6999999999998
3130,-900,30,70,589.7
3135,-1225,35,80,682.0999999999999
3140,-676,26,49,403.2
3145,-256,16,32,287.7
3150,-1521,39,61,517.1
3155,-1156,34,68,550.6
3160,-1089,33,68,554.0000000000001
3165,-1089,33,58,546.0999999999999
3170,-1225,35,63,543.5999999999999
3175,-2401,49,111,988.8000000000001
3180,-3249,57,119,978.2
3185,-3364,58,130,1175.0
3190,-5041,71,160,1346.6
3195,-3481,59,145,1196.1
3200,-3600,60,143,1274.1000000000001
3205,-1444,38,89,795.5000000000001
3210,-3249,57,125,1098.6
3215,-4225,65,149,1313.1
3220,-4489,67,155,1305.9
3225,-2704,52,113,991.5
3230,-1156,34,88,713.8
3235,-1089,33,56,478.7
3240,-784,28,54,412.39999999999986
3245,-1369,37,57,510.9
3250,-1156,34,74,651.5
3255,-1600,40,65,586.1
3260,-1444,38,117,907.8
3265,-2025,45,74,678.2
3270,-2401,49,121,1034.4
3275,-2916,54,110,952.2
3280,-3844,62,164,1338.2
3285,-4225,65,166,1350.6
3290,-3969,63,125,1097.1
3295,-1521,39,82,730.9
3300,-625,25,50,457.6
3305,-1764,42,87,698.6999999999999
3310,-3136,56,154,1278.3
3315,-2809,53,130,1136.3
3320,-2401,49,97,874.9000000000001
3325,-2025,45,79,662.3
3330,-1849,43,112,928.3
3335,-2704,52,95,830.0
3340,-2809,53,143,1129.9
3345,-900,30,71,600.3000000000001
3350,-784,28,69,517.5000000000001
3355,-576,24,41,335.70000000000005
3360,-1089,33,65,526.6999999999999
3365,-1600,40,78,683.0
3370,-1681,41,76,645.8999999999999
3375,-1764,42,99,835.3999999999999
3380,-1296,36,88,698.5999999999999
3385,-841,29,43,390.6
3390,-1024,32,70,593.5
3395,-1089,33,56,487.40000000000003
3400,-1849,43,82,679.0
3405,-2500,50,78,643.8
3410,-729,27,39,356.1
3415,-484,22,34,277.99999999999994
3420,-2704,52,107,915.4000000000001
3425,-1600,40,111,958.1999999999996
3430,-1849,43,71,623.0999999999999
3435,-2500,50,90,782.9
3440,-3025,55,155,1267.6
3445,-2209,47,100,895.1
3450,-3600,60,158,1307.4
3455,-3364,58,160,1403.7
3460,-2209,47,97,811.8
3465,-3969,63,128,1071.5
3470,-4624,68,152,1333.9
3475,-4489,67,206,1646.6
3480,-2809,53,102,862.9000000000001
3485,-2601,51,124,1050.1
3490,-3481,59,152,1215.8
3495,-1681,41,92,744.1000000000001
3500,-1296,36,66,542.5
3505,-1369,37,77,699.3999999999999
3510,-2401,49,120,983.5
3515,-3249,57,127,1067.6
3520,-4624,68,155,1314.8
3525,-3136,56,121,1073.9
3530,-1444,38,109,941.8
3535,-2500,50,135,1167.2
3540,-841,29,81,738.5000000000001
3545,-1849,43,73,645.4
3550,-1444,38,95,816.5999999999999
3555,-961,31,72,627.4000000000001
3560,-729,27,46,386.8
3565,-2809,53,105,896.3000000000002
3570,-2304,48,126,995.5000000000001
3575,-729,27,50,445.5
3580,-841,29,56,498.3
3585,-729,27,44,376.59999999999997
3590,-3364,58,123,1051.6000000000001
3595,-1936,44,116,1031.2
3600,-1369,37,63,555.9000000000001
3605,-1849,43,77,671.8
3610,-1521,39,91,806.6000000000001
3615,-1156,34,67,571.3
3620,-1024,32,70,567.0
3625,-2809,53,121,1019.1999999999999
3630,-2916,54,147,1292.9
3635,-2916,54,122,1094.8999999999999
3640,-2116,46,92,747.1
3645,-3136,56,117,1000.4000000000001
3650,-841,29,55,473.7
3655,-625,25,37,311.7
3660,-576,24,44,390.79999999999995
3665,-1024,32,76,576.9999999999999
3670,-676,26,44,365.7
3675,-961,31,55,477.70000000000005
3680,-900,30,52,434.20000000000005
3685,-1849,43,75,639.9000000000001
3690,-1681,41,76,647.8999999999999
3695,-3025,55,130,1082.1
3700,-2704,52,121,984.5
3705,-3364,58,124,1041.5
3710,-1764,42,101,868.6999999999999
3715,-841,29,67,568.8000000000001
3720,-676,26,54,441.8
3725,-441,21,31,272.3
3730,-625,25,47,410.90000000000003
3735,-625,25,51,444.7
3740,-484,22,48,383.1
3745,-324,18,35,302.4
3750,-676,26,54,411.40000000000003
3755,-1849,43,95,736.4
3760,-961,31,52,471.6
3765,-1681,41,88,711.1
3770,-1849,43,73,618.3000000000001
3775,-1296,36,62,539.0
3780,-400,20,35,279.1
3785,-576,24,33,304.4
3790,-1024,32,50,429.0
3795,-841,29,53,447.1
3800,-1936,44,103,852.6000000000001
3805,-1681,41,65,577.8
3810,-2916,54,121,1004.6
3815,-2116,46,116,976.7
3820,-2500,50,106,888.8999999999999
3825,-3600,60,111,944.3999999999999
3830,-5929,77,232,1938.4
3835,-3481,59,179,1460.3000000000002
3840,-2500,50,111,960.3999999999999
3845,-3481,59,147,1212.5
3850,-6400,80,183,1548.6000000000001
3855,-7569,87,259,2097.6
3860,-2916,54,172,1427.7
3865,-1764,42,104,937.2
3870,-1521,39,65,540.1
3875,-1521,39,68,593.3
3880,-900,30,67,581.5
3885,-729,27,68,576.0
3890,-1444,38,67,596.4000000000001
3895,-4356,66,124,1069.7999999999997
3900,-6400,80,259,2130.0
3905,-4356,66,210,1774.1999999999998
3910,-3136,56,145,1193.4
3915,-1444,38,89,841.4000000000001
3920,-2601,51,93,832.9000000000002
3925,-1936,44,75,657.4
3930,-1369,37,79,678.6
3935,-361,19,38,314.5
3940,-1156,34,62,528.0999999999999
3945,-484,22,40,359.6
3950,-484,22,51,416.80000000000007
3955,-400,20,29,258.2
3960,-961,31,59,509.4
3965,-2025,45,78,685.6
3970,-3025,55,122,1008.3000000000001
3975,-1849,43,62,512.3000000000001
3980,-1600,40,73,599.3
3985,-1444,38,74,619.8
3990,-900,30,48,441.6
3995,-1849,43,102,842.5999999999999
4000,-1936,44,102,856.4
4005,-841,29,56,451.70000000000005
4010,-841,29,37,333.29999999999995
4015,-1849,43,98,820.1
4020,-784,28,85,719.3999999999999
4025,-1849,43,77,655.3
4030,-3481,59,142,1108.2
4035,-4900,70,191,1607.9999999999998
4040,-7921,89,280,2311.2
4045,-5625,75,282,2281.5
4050,-3364,58,142,1264.9
4055,-3364,58,163,1409.0
4060,-2916,54,115,1001.4000000000002
4065,-3844,62,126,1079.1000000000001
4070,-2401,49,101,850.5999999999999
4075,-4489,67,167,1345.8999999999999
4080,-6561,81,255,2030.9
4085,-4225,65,269,2148.8
4090,-2809,53,125,986.8
4095,-2116,46,102,875.6999999999998
4100,-5929,77,187,1572.0
4105,-4356,66,178,1531.1
